iter	RMSE
0	0.8246344288
1	0.7935124974
2	0.7637362737
3	0.7358675586
4	0.7091534668
5	0.683953545
6	0.6603840839
7	0.6385064771
8	0.617578984
9	0.597675903
10	0.5794010341
11	0.5620215067
12	0.5464233871
13	0.5310460666
14	0.5164523242
15	0.50311299
16	0.4903095724
17	0.4782589933
18	0.4670292901
19	0.456555753
20	0.4467095564
21	0.4375445865
22	0.4287650727
23	0.4207691751
24	0.4131869298
25	0.4058565461
26	0.3992311393
27	0.3934371698
28	0.3877041499
29	0.3821636661
30	0.3770483703
31	0.3723500451
32	0.3677180831
33	0.3635194708
34	0.3597185855
35	0.3560598907
36	0.3526357943
37	0.3493374882
38	0.3464543494
39	0.3437011497
40	0.3412281303
41	0.3386987943
42	0.3363462336
43	0.334211085
44	0.332277667
45	0.3304175307
46	0.3285090238
47	0.3268142423
48	0.3252168998
49	0.3235632607
50	0.322115547
51	0.3206834816
52	0.3192726745
53	0.3181487283
54	0.3169641878
55	0.3157606053
56	0.3146138265
57	0.3135603774
58	0.3125053695
59	0.3115839518
60	0.3107038434
61	0.3098381386
62	0.3090239243
63	0.3082257254
64	0.3073146005
65	0.3065205425
66	0.3058548196
67	0.3052180584
68	0.3045614655
69	0.3039030527
70	0.3032591764
71	0.3025382709
72	0.3020286442
73	0.3014290589
74	0.3009041723
75	0.300368477
76	0.2999843089
77	0.2993754649
78	0.2989099344
79	0.2984385313
80	0.2979824039
81	0.297581832
82	0.2971701295
83	0.2968329456
84	0.296425035
85	0.2960452595
86	0.2956065205
87	0.295267758
88	0.2948913226
89	0.294443053
90	0.294107124
91	0.2937141109
92	0.2933001659
93	0.2929307161
94	0.2926034455
95	0.2922051725
96	0.2919175842
97	0.2917219939
98	0.291386186
99	0.2911231334
100	0.290853934
101	0.2904833342
102	0.2901822446
103	0.289911476
104	0.2895612362
105	0.2892654938
106	0.2890790235
107	0.2888299153
108	0.2885421789
109	0.2883399067
110	0.2879762094
111	0.2875347131
112	0.2872233517
113	0.2869165365
114	0.2866122899
115	0.2863896673
116	0.286127998
117	0.285849036
118	0.2855976245
119	0.2852735385
120	0.2851139689
121	0.2847667974
122	0.284545244
123	0.2843107567
124	0.2840134179
125	0.2836837747
126	0.2834943651
127	0.2833299725
128	0.2831731865
129	0.2829147852
130	0.2825474358
131	0.2822548223
132	0.2819483896
133	0.2816398718
134	0.2813342135
135	0.2810162349
136	0.2807987988
137	0.2805816822
138	0.280427345
139	0.2801881149
140	0.2800571676
141	0.2798936414
142	0.2797093777
143	0.2794644942
144	0.2792904481
145	0.2790697295
146	0.278875202
147	0.2786947007
148	0.2785424496
149	0.278284897
150	0.2780270185
151	0.2779161667
152	0.2777605732
153	0.2776031234
154	0.2774218201
155	0.2771886108
156	0.2770329974
157	0.2768140811
158	0.2767199821
159	0.2765353874
160	0.2763643296
161	0.2761658429
162	0.275919041
163	0.2756533508
164	0.275438131
165	0.2753329819
166	0.2751706297
167	0.2749900379
168	0.2748494792
169	0.2745644665
170	0.2743811438
171	0.2742399683
172	0.2739947884
173	0.2737717104
174	0.2736712956
175	0.2735398285
176	0.2733844767
177	0.2732197272
178	0.2730847834
179	0.2729181378
180	0.2726543194
181	0.2725350939
182	0.2723257626
183	0.2721559032
184	0.27197999
185	0.2718508003
186	0.2716617776
187	0.2715153675
188	0.2713783717
189	0.271263273
190	0.271063506
191	0.2709277518
192	0.2707085891
193	0.2705070388
194	0.2703855423
195	0.2702185582
196	0.2700090039
197	0.2698903977
198	0.2697462646
199	0.2696274103
200	0.2694731848
201	0.2693291695
202	0.2692097788
203	0.2690908092
204	0.2689338194
205	0.2688332141
206	0.2687516903
207	0.2686836147
208	0.2685215599
209	0.2684105476
210	0.2682405659
211	0.2681209126
212	0.2680277434
213	0.2679653218
214	0.2678834222
215	0.267682616
216	0.2675715119
217	0.2673617762
218	0.2672563494
219	0.2671015652
220	0.2669756368
221	0.266760577
222	0.2665421911
223	0.2664359884
224	0.2663435183
225	0.2661784975
226	0.2660469956
227	0.2658889163
228	0.2658144183
229	0.2656776091
230	0.2655342883
231	0.2654053487
232	0.2652141729
233	0.2651243299
234	0.2648976192
235	0.2647656782
236	0.2646434275
237	0.2644689653
238	0.2643703064
239	0.2642101314
240	0.2641141834
241	0.2639683354
242	0.2638426261
243	0.2637143087
244	0.2635902891
245	0.2634748654
246	0.2633562755
247	0.263276662
248	0.2631439265
249	0.2630132199
250	0.262881288
251	0.2627630876
252	0.2626540783
253	0.2624624944
254	0.2623424734
255	0.2622393498
256	0.262132782
257	0.2619972152
258	0.261880402
259	0.2617068011
260	0.2616151305
261	0.2615069114
262	0.2613528457
263	0.2612091753
264	0.2611156471
265	0.2609783815
266	0.2608684117
267	0.2607783115
268	0.260667916
269	0.2605253952
270	0.2604357825
271	0.2603273322
272	0.2601973288
273	0.2600656562
274	0.2599766771
275	0.2598682579
276	0.2597415472
277	0.2596503308
278	0.2593992337
279	0.2592636726
280	0.2590957016
281	0.2589827291
282	0.2588835059
283	0.2587653793
284	0.2586772077
285	0.2585568886
286	0.2584029061
287	0.2582842194
288	0.2581687431
289	0.2580854212
290	0.2580185971
291	0.2579508706
292	0.2577841961
293	0.2576205081
294	0.2574610015
295	0.2573416818
296	0.2571428814
297	0.2570708706
298	0.2569120154
299	0.2568129798
300	0.2566755015
301	0.2565993144
302	0.2565010512
303	0.2563897665
304	0.2562581027
305	0.2561683108
306	0.2560094639
307	0.2558884997
308	0.2557648643
309	0.2555871499
310	0.255508313
311	0.2553542868
312	0.2552648779
313	0.2550729348
314	0.2550044302
315	0.2548448438
316	0.2547509842
317	0.2546454115
318	0.2545455349
319	0.2544703047
320	0.2543324136
321	0.2542475017
322	0.2540930056
323	0.2539913319
324	0.2538489868
325	0.25370315
326	0.2536414622
327	0.2535197076
328	0.2533801847
329	0.2532571931
330	0.253175749
331	0.2530856676
332	0.2530048407
333	0.2528665922
334	0.2528268047
335	0.2527814839
336	0.2527003152
337	0.2526363977
338	0.2525419266
339	0.2524224231
340	0.2523556438
341	0.2522105512
342	0.2521208712
343	0.2520490748
344	0.2519509063
345	0.2518661678
346	0.2517037307
347	0.2516171788
348	0.2515348469
349	0.2514260892
350	0.2513699947
351	0.2512479304
352	0.2511908939
353	0.2510653133
354	0.2509921813
355	0.2508939818
356	0.2508021386
357	0.2507132275
358	0.2506001902
359	0.2504893434
360	0.2504016449
361	0.2503091139
362	0.2502266485
363	0.2501729075
364	0.2500693518
365	0.249954291
366	0.2498812624
367	0.2498347251
368	0.2497284815
369	0.2496219831
370	0.2495387061
371	0.2494218143
372	0.2493405088
373	0.2492867168
374	0.2491865206
375	0.2490743171
376	0.2490133546
377	0.2489287504
378	0.2488060135
379	0.2486839334
380	0.2485767551
381	0.2485209501
382	0.2483935477
383	0.2483239492
384	0.2482252549
385	0.2481266559
386	0.2480431364
387	0.2479720832
388	0.2478729918
389	0.247804976
390	0.2477354613
391	0.2476170877
392	0.2475380249
393	0.2474348906
394	0.2473304998
395	0.2472518678
396	0.2471743992
397	0.2470789277
398	0.2470180819
399	0.2469496064
400	0.246878039
401	0.2467840713
402	0.2467195322
403	0.2466342156
404	0.2465674175
405	0.2464497062
406	0.2463536247
407	0.246282668
408	0.2462146986
409	0.2461476474
410	0.2460782381
411	0.2460141767
412	0.2459028453
413	0.2457856192
414	0.2457177806
415	0.2456518139
416	0.2455624328
417	0.2454949246
418	0.2454297561
419	0.2453409064
420	0.2452421592
421	0.2451407035
422	0.2450713645
423	0.244953506
424	0.2448486978
425	0.2448038048
426	0.2446890362
427	0.2445923239
428	0.244485436
429	0.244426065
430	0.2443578352
431	0.2442973519
432	0.2442174943
433	0.2441489338
434	0.2440831202
435	0.2440238936
436	0.2439428592
437	0.2438300453
438	0.2437693414
439	0.2437014282
440	0.2436643624
441	0.2435903634
442	0.2434892721
443	0.2434058927
444	0.2433347018
445	0.2432414931
446	0.2431460751
447	0.243079674
448	0.242960091
449	0.2428957889
450	0.2427885264
451	0.2427066359
452	0.2425993645
453	0.2425397952
454	0.2424591616
455	0.2423708832
456	0.2422912135
457	0.242252851
458	0.2421588896
459	0.2421085511
460	0.2420595809
461	0.2419908649
462	0.2418808591
463	0.241802808
