iter	Passed	Remaining
0	2	2629
1	4	2297
2	8	2762
3	10	2717
4	12	2545
5	14	2461
6	16	2408
7	18	2333
8	20	2292
9	23	2291
10	24	2244
11	26	2205
12	28	2198
13	31	2193
14	32	2165
15	35	2166
16	38	2200
17	41	2254
18	43	2236
19	45	2212
20	47	2201
21	49	2200
22	51	2183
23	53	2163
24	55	2152
25	57	2139
26	59	2131
27	60	2111
28	62	2100
29	64	2085
30	66	2079
31	68	2068
32	71	2093
33	74	2105
34	76	2102
35	77	2088
36	80	2084
37	81	2075
38	84	2072
39	86	2066
40	87	2058
41	90	2057
42	91	2045
43	93	2036
44	95	2028
45	97	2021
46	99	2017
47	101	2009
48	105	2038
49	106	2032
50	108	2026
51	110	2020
52	113	2019
53	114	2010
54	116	2009
55	118	2001
56	120	1990
57	122	1986
58	124	1983
59	126	1974
60	127	1968
61	130	1967
62	131	1959
63	133	1953
64	137	1982
65	139	1973
66	141	1967
67	143	1963
68	145	1956
69	146	1950
70	148	1942
71	150	1939
72	152	1934
73	154	1927
74	156	1924
75	158	1923
76	160	1922
77	162	1918
78	164	1917
79	166	1913
80	170	1932
81	172	1930
82	174	1928
83	176	1925
84	178	1921
85	180	1915
86	182	1911
87	184	1907
88	185	1903
89	187	1897
90	189	1891
91	191	1888
92	193	1882
93	194	1877
94	196	1875
95	199	1875
96	203	1890
97	205	1889
98	207	1884
99	208	1879
100	210	1877
101	212	1872
102	214	1866
103	216	1863
104	218	1865
105	220	1860
106	222	1856
107	224	1854
108	226	1851
109	228	1845
110	229	1840
111	235	1863
112	237	1861
113	239	1859
114	241	1854
115	242	1850
116	245	1849
117	246	1845
118	248	1840
119	250	1836
120	252	1832
121	254	1829
122	255	1823
123	257	1821
124	259	1816
125	261	1812
126	263	1809
127	267	1825
128	269	1821
129	272	1820
130	274	1820
131	276	1816
132	278	1815
133	280	1811
134	282	1808
135	284	1806
136	286	1803
137	287	1798
138	289	1794
139	292	1793
140	293	1790
141	295	1786
142	299	1797
143	302	1795
144	304	1793
145	306	1793
146	308	1790
147	310	1786
148	312	1787
149	314	1783
150	316	1779
151	318	1776
152	320	1774
153	322	1771
154	324	1767
155	326	1765
156	328	1762
157	332	1772
158	334	1767
159	336	1767
160	339	1768
161	341	1766
162	343	1763
163	345	1759
164	347	1757
165	348	1753
166	351	1752
167	353	1751
168	355	1748
169	357	1745
170	359	1742
171	363	1747
172	365	1747
173	367	1744
174	369	1740
175	371	1737
176	373	1735
177	375	1731
178	376	1727
179	378	1724
180	380	1723
181	382	1719
182	384	1715
183	386	1713
184	388	1710
185	390	1707
186	391	1703
187	394	1705
188	397	1705
189	399	1705
190	401	1701
191	403	1697
192	405	1693
193	407	1691
194	408	1688
195	411	1687
196	413	1684
197	415	1681
198	416	1678
199	418	1674
200	420	1672
201	422	1669
202	424	1666
203	429	1674
204	431	1672
205	433	1669
206	435	1667
207	436	1663
208	438	1660
209	440	1657
210	442	1654
211	444	1651
212	445	1647
213	447	1644
214	449	1640
215	451	1637
216	453	1635
217	455	1632
218	456	1628
219	460	1634
220	462	1631
221	464	1628
222	466	1626
223	468	1624
224	470	1620
225	472	1617
226	474	1614
227	476	1611
228	477	1608
229	479	1605
230	481	1602
231	483	1599
232	484	1596
233	486	1592
234	488	1590
235	490	1586
236	493	1590
237	495	1587
238	497	1584
239	499	1583
240	501	1580
241	503	1577
242	505	1574
243	507	1572
244	509	1569
245	511	1566
246	512	1562
247	514	1561
248	516	1559
249	518	1555
250	520	1553
251	522	1551
252	526	1553
253	528	1552
254	530	1549
255	532	1546
256	534	1544
257	536	1541
258	537	1538
259	539	1535
260	541	1533
261	543	1530
262	544	1527
263	546	1524
264	548	1521
265	550	1518
266	551	1515
267	553	1512
268	557	1516
269	559	1513
270	561	1511
271	563	1508
272	565	1505
273	567	1503
274	569	1501
275	571	1498
276	573	1495
277	575	1494
278	577	1491
279	578	1488
280	580	1485
281	582	1483
282	584	1480
283	586	1477
284	590	1480
285	592	1478
286	594	1476
287	596	1473
288	598	1471
289	599	1468
290	601	1466
291	603	1464
292	605	1461
293	607	1459
294	609	1456
295	611	1453
296	613	1451
297	615	1449
298	617	1447
299	619	1445
300	623	1448
301	625	1446
302	627	1444
303	629	1441
304	631	1439
305	633	1437
306	636	1435
307	637	1432
308	639	1429
309	641	1427
310	643	1425
311	645	1422
312	647	1420
313	649	1418
314	650	1415
315	654	1416
316	656	1414
317	658	1412
318	660	1409
319	662	1408
320	664	1405
321	666	1403
322	668	1401
323	670	1399
324	672	1396
325	674	1393
326	676	1391
327	678	1389
328	680	1387
329	682	1385
330	685	1384
331	687	1383
332	689	1381
333	691	1379
334	693	1376
335	695	1373
336	697	1371
337	698	1368
338	700	1365
339	702	1363
340	704	1361
341	705	1358
342	707	1355
343	710	1354
344	711	1351
345	713	1349
346	717	1350
347	720	1349
348	722	1347
349	724	1346
350	726	1344
351	729	1342
352	731	1340
353	733	1337
354	734	1335
355	737	1333
356	739	1331
357	740	1328
358	743	1326
359	744	1324
360	746	1321
361	749	1321
362	753	1321
363	755	1319
364	757	1317
365	759	1315
366	761	1312
367	763	1310
368	764	1307
369	766	1305
370	768	1303
371	770	1300
372	772	1298
373	774	1295
374	775	1293
375	778	1291
376	779	1288
377	781	1285
378	785	1287
379	787	1284
380	789	1282
381	791	1280
382	793	1278
383	795	1275
384	797	1273
385	799	1271
386	800	1268
387	802	1266
388	804	1264
389	806	1261
390	808	1259
391	810	1257
392	812	1254
393	816	1255
394	818	1253
395	820	1251
396	822	1249
397	824	1247
398	826	1244
399	828	1242
400	830	1240
401	832	1238
402	834	1235
403	835	1233
404	838	1231
405	840	1229
406	841	1226
407	843	1224
408	846	1223
409	849	1222
410	851	1220
411	853	1218
412	855	1216
413	857	1214
414	859	1211
415	861	1209
416	863	1207
417	865	1205
418	867	1202
419	868	1199
420	871	1198
421	873	1196
422	875	1193
423	877	1191
424	891	1205
425	893	1203
426	895	1201
427	896	1198
428	899	1196
429	900	1194
430	902	1191
431	904	1189
432	906	1187
433	908	1184
434	910	1182
435	914	1183
436	916	1180
437	918	1178
438	920	1176
439	922	1173
440	924	1171
441	926	1169
442	927	1166
443	929	1164
444	931	1161
445	933	1159
446	935	1157
447	937	1154
448	939	1153
449	941	1150
450	944	1149
451	947	1148
452	949	1146
453	950	1143
454	953	1141
455	954	1139
456	956	1136
457	958	1134
458	960	1131
459	961	1128
460	963	1126
461	965	1124
462	967	1121
463	968	1119
464	970	1116
465	972	1114
466	974	1111
467	978	1112
468	980	1110
469	982	1107
470	984	1105
471	986	1103
472	988	1101
473	989	1098
474	991	1096
475	993	1093
476	995	1091
477	997	1088
478	998	1086
479	1000	1084
480	1002	1082
481	1004	1079
482	1006	1077
483	1010	1077
484	1012	1074
485	1013	1072
486	1015	1069
487	1017	1067
488	1019	1065
489	1021	1063
490	1023	1060
491	1025	1058
492	1027	1056
493	1029	1054
494	1031	1052
495	1033	1050
496	1035	1047
497	1036	1045
498	1038	1042
499	1041	1041
500	1044	1040
501	1046	1038
502	1048	1035
503	1050	1033
504	1051	1030
505	1053	1028
506	1055	1026
507	1057	1024
508	1059	1022
509	1061	1020
510	1063	1017
511	1065	1015
512	1067	1013
513	1069	1011
514	1070	1008
515	1072	1006
516	1076	1005
517	1078	1003
518	1080	1001
519	1082	999
520	1084	996
521	1086	994
522	1087	992
523	1089	989
524	1091	987
525	1093	985
526	1095	983
527	1097	980
528	1099	978
529	1100	976
530	1102	973
531	1106	973
532	1108	971
533	1110	968
534	1111	966
535	1113	964
536	1115	962
537	1117	959
538	1120	957
539	1122	955
540	1123	953
541	1125	951
542	1127	948
543	1129	946
544	1131	944
545	1133	942
546	1135	940
547	1138	938
548	1141	937
549	1143	935
550	1145	933
551	1147	931
552	1149	929
553	1151	926
554	1153	924
555	1155	922
556	1156	920
557	1158	917
558	1160	915
559	1162	913
560	1164	911
561	1166	908
562	1168	906
563	1171	905
564	1173	903
565	1175	901
566	1177	899
567	1179	896
568	1181	894
569	1183	892
570	1184	890
571	1186	887
572	1188	885
573	1190	883
574	1191	881
575	1193	878
576	1195	876
577	1197	874
578	1199	871
579	1202	870
580	1204	868
581	1206	866
582	1208	864
583	1210	862
584	1212	860
585	1214	857
586	1216	855
587	1218	853
588	1219	851
589	1222	849
590	1224	847
591	1225	844
592	1227	842
593	1229	840
594	1231	838
595	1233	836
596	1237	835
597	1239	833
598	1241	831
599	1243	828
600	1244	826
601	1246	824
602	1248	822
603	1250	819
604	1252	817
605	1254	815
606	1255	813
607	1257	810
608	1259	808
609	1261	806
610	1263	804
611	1264	801
612	1269	801
613	1271	799
614	1273	797
615	1275	795
616	1277	793
617	1279	790
618	1281	788
619	1283	786
620	1285	784
621	1287	782
622	1289	780
623	1291	777
624	1292	775
625	1295	773
626	1296	771
627	1300	770
628	1302	768
629	1304	766
630	1306	764
631	1309	762
632	1311	760
633	1313	758
634	1315	756
635	1317	753
636	1318	751
637	1320	749
638	1323	747
639	1325	745
640	1327	743
641	1329	741
642	1333	740
643	1335	738
644	1337	736
645	1339	733
646	1341	731
647	1343	729
648	1345	727
649	1347	725
650	1349	723
651	1351	721
652	1352	718
653	1354	716
654	1356	714
655	1358	712
656	1360	710
657	1362	707
658	1365	706
659	1367	704
660	1370	702
661	1371	700
662	1373	698
663	1375	696
664	1377	694
665	1379	691
666	1381	689
667	1383	687
668	1385	685
669	1387	683
670	1389	681
671	1391	679
672	1392	676
673	1394	674
674	1399	673
675	1400	671
676	1403	669
677	1404	667
678	1406	664
679	1408	662
680	1410	660
681	1412	658
682	1413	656
683	1415	654
684	1418	652
685	1419	649
686	1421	647
687	1424	645
688	1425	643
689	1428	641
690	1431	640
691	1433	638
692	1435	635
693	1437	633
694	1439	631
695	1440	629
696	1442	627
697	1444	625
698	1446	623
699	1448	620
700	1450	618
701	1452	616
702	1453	614
703	1455	612
704	1457	610
705	1459	607
706	1464	606
707	1466	604
708	1468	602
709	1470	600
710	1471	598
711	1473	596
712	1475	593
713	1477	591
714	1479	589
715	1481	587
716	1482	585
717	1484	583
718	1486	581
719	1488	578
720	1490	576
721	1492	574
722	1495	573
723	1498	571
724	1500	569
725	1501	566
726	1504	564
727	1506	562
728	1508	560
729	1510	558
730	1512	556
731	1513	554
732	1515	552
733	1517	550
734	1519	547
735	1521	545
736	1523	543
737	1526	541
738	1529	540
739	1531	538
740	1533	536
741	1535	534
742	1537	531
743	1539	529
744	1541	527
745	1543	525
746	1545	523
747	1547	521
748	1549	519
749	1551	517
750	1553	515
751	1554	512
752	1556	510
753	1561	509
754	1563	507
755	1565	505
756	1567	503
757	1569	500
758	1571	498
759	1572	496
760	1574	494
761	1576	492
762	1578	490
763	1580	488
764	1582	486
765	1584	484
766	1586	481
767	1588	479
768	1591	477
769	1594	476
770	1596	474
771	1598	471
772	1599	469
773	1601	467
774	1603	465
775	1605	463
776	1607	461
777	1609	459
778	1610	457
779	1613	454
780	1614	452
781	1616	450
782	1618	448
783	1620	446
784	1623	444
